match_id,innings,date,venue,season,match_type,batting_team,bowling_team,total_runs,wickets_fallen
335982,1,2008-04-18,M Chinnaswamy Stadium,2007/08,T20,Kolkata Knight Riders,Royal Challengers Bangalore,222,3
335982,2,2008-04-18,M Chinnaswamy Stadium,2007/08,T20,Royal Challengers Bangalore,Kolkata Knight Riders,82,10
335983,1,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Chennai Super Kings,Kings XI Punjab,240,5
335983,2,2008-04-19,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Kings XI Punjab,Chennai Super Kings,207,4
335984,1,2008-04-19,Feroz Shah Kotla,2007/08,T20,Rajasthan Royals,Delhi Daredevils,129,8
335984,2,2008-04-19,Feroz Shah Kotla,2007/08,T20,Delhi Daredevils,Rajasthan Royals,132,1
335985,1,2008-04-20,Wankhede Stadium,2007/08,T20,Mumbai Indians,Royal Challengers Bangalore,165,6
335985,2,2008-04-20,Wankhede Stadium,2007/08,T20,Royal Challengers Bangalore,Mumbai Indians,166,5
335986,1,2008-04-20,Eden Gardens,2007/08,T20,Deccan Chargers,Kolkata Knight Riders,110,10
335986,2,2008-04-20,Eden Gardens,2007/08,T20,Kolkata Knight Riders,Deccan Chargers,112,5
335987,1,2008-04-21,Sawai Mansingh Stadium,2007/08,T20,Kings XI Punjab,Rajasthan Royals,166,8
335987,2,2008-04-21,Sawai Mansingh Stadium,2007/08,T20,Rajasthan Royals,Kings XI Punjab,168,4
335988,1,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",2007/08,T20,Deccan Chargers,Delhi Daredevils,142,8
335988,2,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",2007/08,T20,Delhi Daredevils,Deccan Chargers,143,1
335989,1,2008-04-23,"MA Chidambaram Stadium, Chepauk",2007/08,T20,Chennai Super Kings,Mumbai Indians,208,5
335989,2,2008-04-23,"MA Chidambaram Stadium, Chepauk",2007/08,T20,Mumbai Indians,Chennai Super Kings,202,7
335990,1,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2007/08,T20,Deccan Chargers,Rajasthan Royals,214,5
335990,2,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",2007/08,T20,Rajasthan Royals,Deccan Chargers,217,7
335991,1,2008-04-25,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Kings XI Punjab,Mumbai Indians,182,10
335991,2,2008-04-25,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Mumbai Indians,Kings XI Punjab,116,9
335992,1,2008-04-26,M Chinnaswamy Stadium,2007/08,T20,Royal Challengers Bangalore,Rajasthan Royals,135,8
335992,2,2008-04-26,M Chinnaswamy Stadium,2007/08,T20,Rajasthan Royals,Royal Challengers Bangalore,138,3
335993,1,2008-04-26,"MA Chidambaram Stadium, Chepauk",2007/08,T20,Kolkata Knight Riders,Chennai Super Kings,147,9
335993,2,2008-04-26,"MA Chidambaram Stadium, Chepauk",2007/08,T20,Chennai Super Kings,Kolkata Knight Riders,152,1
335994,1,2008-04-27,Dr DY Patil Sports Academy,2007/08,T20,Mumbai Indians,Deccan Chargers,154,7
335994,2,2008-04-27,Dr DY Patil Sports Academy,2007/08,T20,Deccan Chargers,Mumbai Indians,155,0
335995,1,2008-04-27,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Delhi Daredevils,Kings XI Punjab,158,8
335995,2,2008-04-27,"Punjab Cricket Association Stadium, Mohali",2007/08,T20,Kings XI Punjab,Delhi Daredevils,162,6
335996,1,2008-04-28,M Chinnaswamy Stadium,2007/08,T20,Chennai Super Kings,Royal Challengers Bangalore,178,5
335996,2,2008-04-28,M Chinnaswamy Stadium,2007/08,T20,Royal Challengers Bangalore,Chennai Super Kings,165,10
