player_key,display_name,bat_innings,bat_runs,bat_balls,bat_dismissals,bat_sr,bat_avg,bowl_innings,bowl_balls,bowl_runs,bowl_wickets,bowl_econ,bowl_sr,bat_strength,bowl_strength
a ashish reddy,A Ashish Reddy,23.0,280.0,193.0,15.0,145.0777,18.6667,20.0,262.0,396.0,18.0,9.0687,14.5556,0.6456,0.0356
a badoni,A Badoni,46.0,963.0,695.0,35.0,138.5612,27.5143,7.0,35.0,49.0,4.0,8.4,8.75,0.5903,0.0
a chandila,A Chandila,2.0,4.0,7.0,0.0,57.1429,4.0,12.0,234.0,242.0,11.0,6.2051,21.2727,0.0,2.0613
a chopra,A Chopra,6.0,53.0,71.0,5.0,74.6479,10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0954,0.0
a choudhary,A Choudhary,3.0,25.0,20.0,1.0,125.0,25.0,5.0,101.0,144.0,5.0,8.5545,20.2,0.0,0.2215
a dananjaya,A Dananjaya,1.0,4.0,5.0,0.0,80.0,4.0,1.0,24.0,47.0,0.0,11.75,24.0,0.0,0.0
a flintoff,A Flintoff,3.0,62.0,53.0,2.0,116.9811,31.0,3.0,66.0,105.0,2.0,9.5455,33.0,0.0,-1.0856
a kamboj,A Kamboj,6.0,16.0,14.0,2.0,114.2857,8.0,11.0,189.0,286.0,10.0,9.0794,18.9,0.0,-0.1471
a kumble,A Kumble,15.0,35.0,47.0,2.0,74.4681,17.5,42.0,965.0,1058.0,45.0,6.5782,21.4444,0.0,1.7554
a manohar,A Manohar,20.0,292.0,235.0,19.0,124.2553,15.3684,0.0,0.0,0.0,0.0,0.0,0.0,-0.1777,0.0
a mhatre,A Mhatre,7.0,240.0,127.0,7.0,188.9764,34.2857,0.0,0.0,0.0,0.0,0.0,0.0,2.4747,0.0
a mishra,A Mishra,55.0,381.0,419.0,28.0,90.9308,13.6071,162.0,3371.0,4145.0,174.0,7.3776,19.3736,-1.4105,1.1978
a mithun,A Mithun,6.0,34.0,26.0,5.0,130.7692,6.8,16.0,288.0,472.0,7.0,9.8333,41.1429,0.0,-1.6426
a mukund,A Mukund,2.0,19.0,22.0,2.0,86.3636,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a nehra,A Nehra,17.0,41.0,62.0,6.0,66.129,6.8333,88.0,1908.0,2495.0,106.0,7.8459,18.0,-2.582,0.8775
a nel,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,31.0,1.0,10.3333,18.0,0.0,0.0
a nortje,A Nortje,13.0,49.0,49.0,5.0,100.0,9.8,48.0,1096.0,1657.0,61.0,9.0712,17.9672,0.0,-0.1031
a raghuvanshi,A Raghuvanshi,18.0,463.0,320.0,16.0,144.6875,28.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.8301,0.0
a singh,A Singh,5.0,2.0,10.0,4.0,20.0,0.5,23.0,473.0,620.0,28.0,7.8647,16.8929,0.0,0.9068
a symonds,A Symonds,36.0,974.0,750.0,24.0,129.8667,40.5833,30.0,527.0,674.0,20.0,7.6736,26.35,0.4607,0.681
a tomar,A Tomar,1.0,4.0,8.0,1.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a uniyal,A Uniyal,2.0,4.0,7.0,1.0,57.1429,4.0,2.0,36.0,66.0,2.0,11.0,18.0,0.0,0.0
a zampa,A Zampa,5.0,15.0,24.0,5.0,62.5,3.0,22.0,467.0,652.0,31.0,8.3769,15.0645,0.0,0.5696
aa bilakhia,AA Bilakhia,7.0,69.0,85.0,5.0,81.1765,13.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.7495,0.0
aa chavan,AA Chavan,3.0,12.0,11.0,1.0,109.0909,12.0,13.0,248.0,326.0,8.0,7.8871,31.0,0.0,0.3236
aa jhunjhunwala,AA Jhunjhunwala,15.0,217.0,210.0,12.0,103.3333,18.0833,10.0,85.0,129.0,1.0,9.1059,85.0,-0.8456,-2.817
aa kazi,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,21.0,0.0,10.5,12.0,0.0,0.0
aa kulkarni,AA Kulkarni,2.0,9.0,8.0,2.0,112.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aa noffke,AA Noffke,1.0,9.0,10.0,1.0,90.0,9.0,1.0,24.0,40.0,1.0,10.0,24.0,0.0,0.0
ab agarkar,AB Agarkar,18.0,179.0,154.0,8.0,116.2338,22.375,42.0,782.0,1151.0,29.0,8.8312,26.9655,-0.2934,-0.2714
ab barath,AB Barath,3.0,42.0,42.0,2.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab de villiers,AB de Villiers,170.0,5181.0,3411.0,122.0,151.8909,42.4672,0.0,0.0,0.0,0.0,0.0,0.0,1.2609,0.0
ab dinda,AB Dinda,16.0,26.0,48.0,9.0,54.1667,2.8889,75.0,1516.0,2073.0,69.0,8.2045,21.971,0.0,0.431
ab mcdonald,AB McDonald,9.0,123.0,100.0,5.0,123.0,24.6,10.0,186.0,261.0,11.0,8.4194,16.9091,-0.0111,0.4617
abdul basith,Abdul Basith,1.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdul samad,Abdul Samad,51.0,743.0,490.0,38.0,151.6327,19.5526,6.0,56.0,119.0,2.0,12.75,28.0,0.8984,0.0
abdur razzak,Abdur Razzak,1.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,29.0,0.0,14.5,12.0,0.0,0.0
abhishek sharma,Abhishek Sharma,74.0,1816.0,1114.0,66.0,163.0162,27.5152,32.0,336.0,501.0,11.0,8.9464,30.5455,1.4556,-0.5072
